Journal_Name,year,e_issn,policy,policy_year,Field,All_Fields,JCR_Abbrev,sum_bar,sum_inf,sum_eligible,n_bar_or_informative,sum_only_bar,sum_only_inf,sum_bar_and_inf,n_articles,p_bar,p_informative,p_eligible,p_only_bar,p_only_inf,p_bar_and_inf
Acta Neuropathologica,2010,1432-0533,0,,Neurosciences,Clinical Neurology; Neurosciences; Pathology,ACTA NEUROPATHOL,29,14,38,38,24,9,5,79,0.7631578947368421,0.3684210526315789,0.4810126582278481,0.631578947368421,0.2368421052631578,0.131578947368421
Acta Neuropathologica,2011,1432-0533,0,,Neurosciences,Clinical Neurology; Neurosciences; Pathology,ACTA NEUROPATHOL,40,24,53,53,29,13,11,77,0.7547169811320755,0.4528301886792453,0.6883116883116883,0.5471698113207547,0.2452830188679245,0.2075471698113207
Acta Neuropathologica,2012,1432-0533,0,,Neurosciences,Clinical Neurology; Neurosciences; Pathology,ACTA NEUROPATHOL,51,34,67,67,33,16,18,93,0.7611940298507462,0.5074626865671642,0.7204301075268817,0.4925373134328358,0.2388059701492537,0.2686567164179104
Acta Neuropathologica,2013,1432-0533,0,,Neurosciences,Clinical Neurology; Neurosciences; Pathology,ACTA NEUROPATHOL,55,32,70,70,38,15,17,93,0.7857142857142857,0.4571428571428571,0.7526881720430108,0.5428571428571428,0.2142857142857142,0.2428571428571428
Acta Neuropathologica,2014,1432-0533,0,,Neurosciences,Clinical Neurology; Neurosciences; Pathology,ACTA NEUROPATHOL,40,23,50,50,27,10,13,77,0.8,0.46,0.6493506493506493,0.54,0.2,0.26
Acta Neuropathologica,2015,1432-0533,0,,Neurosciences,Clinical Neurology; Neurosciences; Pathology,ACTA NEUROPATHOL,49,41,69,69,28,20,21,83,0.7101449275362319,0.5942028985507246,0.8313253012048193,0.4057971014492754,0.2898550724637681,0.3043478260869565
Acta Neuropathologica,2016,1432-0533,0,,Neurosciences,Clinical Neurology; Neurosciences; Pathology,ACTA NEUROPATHOL,49,32,59,59,27,10,22,72,0.8305084745762712,0.5423728813559322,0.8194444444444444,0.4576271186440678,0.1694915254237288,0.3728813559322034
Acta Neuropathologica,2017,1432-0533,0,,Neurosciences,Clinical Neurology; Neurosciences; Pathology,ACTA NEUROPATHOL,47,42,65,65,23,18,24,89,0.7230769230769231,0.6461538461538462,0.7303370786516854,0.3538461538461538,0.2769230769230769,0.3692307692307692
Acta Neuropathologica,2018,1432-0533,0,,Neurosciences,Clinical Neurology; Neurosciences; Pathology,ACTA NEUROPATHOL,41,50,66,66,16,25,25,88,0.6212121212121212,0.7575757575757576,0.75,0.2424242424242424,0.3787878787878788,0.3787878787878788
Acta Neuropathologica,2019,1432-0533,0,,Neurosciences,Clinical Neurology; Neurosciences; Pathology,ACTA NEUROPATHOL,41,56,69,69,13,28,28,82,0.5942028985507246,0.8115942028985508,0.8414634146341463,0.1884057971014492,0.4057971014492754,0.4057971014492754
